Date,NASDAQ,SP500,DOW
03/03/25,18350.19,5849.72,43191.24
02/28/25,18847.28,5954.5,43840.91
02/27/25,18544.42,5861.57,43239.5
02/26/25,19075.26,5956.06,43433.12
02/25/25,19026.39,5955.25,43621.16
02/24/25,19286.92,5983.25,43461.21
02/21/25,19524.01,6013.13,43428.02
02/20/25,19962.36,6117.52,44176.65
02/19/25,20056.25,6144.15,44627.59
02/18/25,20041.26,6129.58,44556.34
02/14/25,20026.77,6114.63,44546.08
02/13/25,19945.64,6115.07,44711.43
02/12/25,19649.95,6051.97,44368.56
02/11/25,19643.86,6068.5,44593.65
02/10/25,19714.27,6066.44,44470.41
02/07/25,19523.4,6025.99,44303.4
02/06/25,19791.99,6083.57,44747.63
02/05/25,19692.33,6061.48,44873.28
02/04/25,19654.02,6037.88,44556.04
02/03/25,19391.96,5994.57,44421.91
01/31/25,19627.44,6040.53,44544.66
01/30/25,19681.75,6071.17,44882.13
01/29/25,19632.32,6039.31,44713.52
01/28/25,19733.59,6067.7,44850.35
01/27/25,19341.83,6012.28,44713.58
01/24/25,19954.3,6101.24,44424.25
01/23/25,20053.68,6118.71,44565.07
01/22/25,20009.34,6086.37,44156.73
01/21/25,19756.78,6049.24,44025.81
01/17/25,19630.2,5996.66,43487.83
01/16/25,19338.29,5937.34,43153.13
01/15/25,19511.23,5949.91,43221.55
01/14/25,19044.39,5842.91,42518.28
01/13/25,19088.1,5836.22,42297.12
01/10/25,19161.63,5827.04,41938.45
01/08/25,19478.88,5918.25,42635.2
01/07/25,19489.68,5909.03,42528.36
01/06/25,19864.98,5975.38,42706.56
01/03/25,19621.68,5942.47,42732.13
01/02/25,19280.79,5868.55,42392.27
12/31/24,19310.79,5881.63,42544.22
12/30/24,19486.78,5906.94,42573.73
12/27/24,19722.03,5970.84,42992.21
12/26/24,20020.36,6037.59,43325.8
12/24/24,20031.13,6040.04,43297.03
12/23/24,19764.89,5974.07,42906.95
12/20/24,19572.6,5930.85,42840.26
12/19/24,19372.77,5867.08,42342.24
12/18/24,19392.69,5872.16,42326.87
12/17/24,20109.06,6050.61,43449.9
12/16/24,20173.89,6074.08,43717.48
12/13/24,19926.72,6051.09,43828.06
12/12/24,19902.84,6051.25,43914.12
12/11/24,20034.89,6084.19,44148.56
12/10/24,19687.24,6034.91,44247.83
12/09/24,19736.69,6052.85,44401.93
12/06/24,19859.77,6090.27,44642.52
12/05/24,19700.72,6075.11,44765.71
12/04/24,19735.12,6086.49,45014.04
12/03/24,19480.91,6049.88,44705.53
12/02/24,19403.95,6047.15,44782
11/29/24,19218.17,6032.38,44910.65
11/27/24,19060.48,5998.74,44722.06
11/26/24,19174.3,6021.63,44860.31
11/25/24,19054.84,5987.37,44736.57
11/22/24,19003.65,5969.34,44296.51
11/21/24,18972.42,5948.71,43870.35
11/20/24,18966.14,5917.11,43408.47
11/19/24,18987.47,5916.98,43268.94
11/18/24,18791.81,5893.62,43389.6
11/15/24,18680.12,5870.62,43444.99
11/14/24,19107.65,5949.17,43750.86
11/13/24,19230.73,5985.38,43958.19
11/12/24,19281.4,5983.99,43910.98
11/11/24,19298.76,6001.35,44293.13
11/08/24,19286.78,5995.54,43988.99
11/07/24,19269.46,5973.1,43729.34
11/06/24,18983.47,5929.04,43729.93
11/05/24,18439.17,5782.76,42221.88
11/04/24,18179.98,5712.69,41794.6
11/01/24,18239.92,5728.8,42052.19
10/31/24,18095.15,5705.45,41763.46
10/30/24,18607.93,5813.67,42141.54
10/29/24,18712.75,5832.92,42233.05
10/28/24,18567.19,5823.52,42387.57
10/25/24,18518.61,5808.12,42114.4
10/24/24,18415.49,5809.86,42374.36
10/23/24,18276.65,5797.42,42514.95
10/22/24,18573.13,5851.2,42924.89
10/21/24,18540,5853.98,42931.6
10/18/24,18489.55,5864.67,43275.91
10/17/24,18373.61,5841.47,43239.05
10/16/24,18367.08,5842.47,43077.7
10/15/24,18315.59,5815.26,42740.42
10/14/24,18502.69,5859.85,43065.22
10/11/24,18342.94,5815.03,42863.86
10/10/24,18282.05,5780.05,42454.12
10/09/24,18291.62,5792.04,42512
10/08/24,18182.92,5751.13,42080.37
10/07/24,17923.9,5695.94,41954.24
10/04/24,18137.85,5751.07,42352.75
10/03/24,17918.48,5699.94,42011.59
10/02/24,17925.12,5709.54,42196.52
10/01/24,17910.36,5708.75,42156.97
09/30/24,18189.17,5762.48,42330.15
09/27/24,18119.59,5738.17,42313
09/26/24,18190.29,5745.37,42175.11
09/25/24,18082.21,5722.26,41914.75
09/24/24,18074.52,5732.93,42208.22
09/23/24,17974.27,5718.57,42124.65
09/20/24,17948.32,5702.55,42063.36
09/19/24,18013.98,5713.64,42025.19
09/18/24,17573.3,5618.26,41503.1
09/17/24,17628.06,5634.58,41606.18
09/16/24,17592.13,5633.09,41622.08
09/13/24,17683.98,5626.02,41393.78
09/12/24,17569.68,5595.76,41096.77
09/11/24,17395.53,5554.13,40861.71
09/10/24,17025.88,5495.52,40736.96
09/09/24,16884.6,5471.05,40829.59
09/06/24,16690.83,5408.42,40345.41
09/05/24,17127.66,5503.41,40755.75
09/04/24,17084.3,5520.07,40974.97
09/03/24,17136.3,5528.93,40936.93
08/30/24,17713.62,5648.4,41563.08
08/29/24,17516.43,5591.96,41335.05
08/28/24,17556.03,5592.18,41091.42
08/27/24,17754.82,5625.8,41250.5
08/26/24,17725.76,5616.84,41240.52
08/23/24,17877.79,5634.61,41175.08
08/22/24,17619.35,5570.64,40712.78
08/21/24,17918.99,5620.85,40890.49
08/20/24,17816.94,5597.12,40834.97
08/19/24,17876.77,5608.25,40896.53
08/16/24,17631.72,5554.25,40659.76
08/15/24,17594.5,5543.22,40563.06
08/14/24,17192.6,5455.21,40008.39
08/13/24,17187.61,5434.43,39765.64
08/12/24,16780.61,5344.39,39357.01
08/09/24,16745.3,5344.16,39497.54
08/08/24,16660.02,5319.31,39446.49
08/07/24,16195.81,5199.5,38763.45
08/06/24,16366.85,5240.03,38997.66
08/05/24,16200.08,5186.33,38703.27
08/02/24,16776.16,5346.56,39737.26
08/01/24,17194.15,5446.68,40347.97
07/31/24,17599.4,5522.3,40842.79
07/30/24,17147.42,5436.44,40743.33
07/29/24,17370.2,5463.54,40539.93
07/26/24,17357.88,5459.1,40589.34
07/25/24,17181.72,5399.22,39935.07
07/24/24,17342.41,5427.13,39853.87
07/23/24,17997.35,5555.74,40358.09
07/22/24,18007.57,5564.41,40415.44
07/19/24,17726.94,5505,40287.53
07/18/24,17871.22,5544.59,40665.02
07/17/24,17996.92,5588.27,41198.08
07/16/24,18509.34,5667.2,40954.48
07/15/24,18472.57,5631.22,40211.72
07/12/24,18398.45,5615.35,40000.9
07/11/24,18283.41,5584.54,39753.75
07/10/24,18647.45,5633.91,39721.36
07/09/24,18429.29,5576.98,39291.97
07/08/24,18403.74,5572.85,39344.79
07/05/24,18352.76,5567.19,39375.87
07/03/24,18188.3,5537.02,39308
07/02/24,18028.76,5509.01,39331.85
07/01/24,17879.3,5475.09,39169.52
06/28/24,17732.6,5460.48,39118.86
06/27/24,17858.68,5482.87,39164.06
06/26/24,17805.16,5477.9,39127.8
06/25/24,17717.65,5469.3,39112.16
06/24/24,17496.82,5447.87,39411.21
06/21/24,17689.36,5464.62,39150.33
06/20/24,17721.59,5473.17,39134.76
06/18/24,17862.23,5487.03,38834.86
06/17/24,17857.02,5473.23,38778.1
06/14/24,17688.88,5431.6,38589.16
06/13/24,17667.56,5433.74,38647.1
06/12/24,17608.44,5421.03,38712.21
06/11/24,17343.55,5375.32,38747.42
06/10/24,17192.53,5360.79,38868.04
06/07/24,17133.13,5346.99,38798.99
06/06/24,17173.12,5352.96,38886.17
06/05/24,17187.9,5354.03,38807.33
06/04/24,16857.05,5291.34,38711.29
06/03/24,16828.67,5283.4,38571.03
05/31/24,16735.02,5277.51,38686.32
05/30/24,16737.08,5235.48,38111.48
05/29/24,16920.58,5266.95,38441.54
05/28/24,17019.88,5306.04,38852.86
05/24/24,16920.79,5304.72,39069.59
05/23/24,16736.03,5267.84,39065.26
05/22/24,16801.54,5307.01,39671.04
05/21/24,16832.62,5321.41,39872.99
05/20/24,16794.87,5308.13,39806.77
05/17/24,16685.97,5303.27,40003.59
05/16/24,16698.32,5297.1,39869.38
05/15/24,16742.39,5308.15,39908
05/14/24,16511.18,5246.68,39558.11
05/13/24,16388.24,5221.42,39431.51
05/10/24,16340.87,5222.68,39512.84
05/09/24,16346.26,5214.08,39387.76
05/08/24,16302.76,5187.67,39056.39
05/07/24,16332.56,5187.7,38884.26
05/06/24,16349.25,5180.74,38852.27
05/03/24,16156.33,5127.79,38675.68
05/02/24,15840.96,5064.2,38225.66
05/01/24,15605.48,5018.39,37903.29
04/30/24,15657.82,5035.69,37815.92
04/29/24,15983.08,5116.17,38386.09
04/26/24,15927.9,5099.96,38239.66
04/25/24,15611.76,5048.42,38085.8
04/24/24,15712.75,5071.63,38460.92
04/23/24,15696.64,5070.55,38503.69
04/22/24,15451.31,5010.6,38239.98
04/19/24,15282.01,4967.23,37986.4
04/18/24,15601.5,5011.12,37775.38
04/17/24,15683.37,5022.21,37753.31
04/16/24,15865.25,5051.41,37798.97
04/15/24,15885.02,5061.82,37735.11
04/12/24,16175.09,5123.41,37983.24
04/11/24,16442.2,5199.06,38459.08
04/10/24,16170.36,5160.64,38461.51
04/09/24,16306.64,5209.91,38883.67
04/08/24,16253.96,5202.39,38892.8
04/05/24,16248.52,5204.34,38904.04
04/04/24,16049.08,5147.21,38596.98
04/03/24,16277.46,5211.49,39127.14
04/02/24,16240.45,5205.81,39170.24
04/01/24,16396.83,5243.77,39566.85
03/28/24,16379.46,5254.35,39807.37
03/27/24,16399.52,5248.49,39760.08
03/26/24,16315.7,5203.58,39282.33
03/25/24,16384.47,5218.19,39313.64
03/22/24,16428.82,5234.18,39475.9
03/21/24,16401.84,5241.53,39781.37
03/20/24,16369.41,5224.62,39512.13
03/19/24,16166.79,5178.51,39110.76
03/18/24,16103.45,5149.42,38790.43
03/15/24,15973.17,5117.09,38714.77
03/14/24,16128.53,5150.48,38905.66
03/13/24,16177.77,5165.31,39043.32
03/12/24,16265.64,5175.27,39005.49
03/11/24,16019.27,5117.94,38769.66
03/08/24,16085.11,5123.69,38722.69
03/07/24,16273.38,5157.36,38791.35
03/06/24,16031.54,5104.76,38661.05
03/05/24,15939.59,5078.65,38585.19
03/04/24,16207.51,5130.95,38989.83
